school_name,address,postal_code,planning_area,town,latitude,longitude
"Concord Primary School","3 CHOA CHU KANG AVENUE 4 BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL) SINGAPORE 689814","689814","CHOA CHU KANG","CHOA CHU KANG","1.38026516111464","103.736554295636"
"Corporation Primary School","31 JURONG WEST STREET 24 ACE @ WORK ENRICHMENT PTE LTD (CORPORATION PRIMARY) SINGAPORE 648347","648347","JURONG WEST","JURONG WEST","1.35148548772662","103.707578404944"
"Damai Primary School","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","479226","BEDOK","BEDOK","1.33524602829747","103.921286435321"
"Dazhong Primary School","35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441","659441","BUKIT BATOK","BUKIT BATOK","1.3591797447277","103.74847210784"
"De La Salle School","11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285","689285","CHOA CHU KANG","CHOA CHU KANG","1.3947078296399","103.743201812831"
"East Spring Primary School","31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258","529258","TAMPINES","TAMPINES","1.35268400746357","103.961676849165"
"Edgefield Primary School","41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869","828869","PUNGGOL","PUNGGOL","1.40009139510996","103.907847599114"
"Elias Park Primary School","11 PASIR RIS STREET 52 AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866","518866","PASIR RIS","PASIR RIS","1.37505696315817","103.945289416873"
"Endeavour Primary School","10 ADMIRALTY LINK COMMIT LEARNING SCHOOLHOUSE @ ENDEAVOUR PRIMARY SINGAPORE 757521","757521","SEMBAWANG","SEMBAWANG","1.45388170417263","103.817174701639"
"Evergreen Primary School","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","738908","WOODLANDS","WOODLANDS","1.44414835451585","103.794545295922"
"Fairfield Methodist School (Primary)","100 DOVER ROAD COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648","139648","QUEENSTOWN","QUEENSTOWN","1.30100441916733","103.785455606827"
"Farrer Park Primary School","2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567","217567","KALLANG/WHAMPOA","KALLANG/WHAMPOA","1.31236867681371","103.850766402965"
"Fengshan Primary School","307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680","469680","BEDOK","BEDOK","1.32980598760785","103.931710293058"
"Fern Green Primary School","70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538","797538","SENGKANG","SENGKANG","1.39726966050479","103.880330305684"
"Fernvale Primary School","1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701","797701","SENGKANG","SENGKANG","1.39030227963797","103.874445458032"
"First Toa Payoh Primary School","7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252","319252","TOA PAYOH","TOA PAYOH","1.34032299499938","103.855529906182"
"Frontier Primary School","20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200","648200","JURONG WEST","JURONG WEST","1.33641298743234","103.69970173931"
"Fuchun Primary School","23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063","739063","WOODLANDS","WOODLANDS","1.43047990810126","103.778192944298"
"Fuhua Primary School","65 JURONG EAST STREET 13 AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL SINGAPORE 609647","609647","JURONG EAST","JURONG EAST","1.33659726465816","103.736089481883"
"Gan Eng Seng Primary School","100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901","158901","BUKIT MERAH","BUKIT MERAH","1.28559516494962","103.815547410064"
"Geylang Methodist School (Primary)","4 GEYLANG EAST CENTRAL CHRISTALITE METHODIST CHAPEL SINGAPORE 389706","389706","GEYLANG","GEYLANG","1.31814416827374","103.883628501601"
"Gongshang Primary School","1 TAMPINES STREET 42 COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL SINGAPORE 529176","529176","TAMPINES","TAMPINES","1.35711606790292","103.949144797277"
"Greendale Primary School","50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848","828848","PUNGGOL","PUNGGOL","1.39648195114256","103.91233462071"
"Greenridge Primary School","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","677744","BUKIT PANJANG","BUKIT PANJANG","1.3858892193692","103.767794469258"
"Greenwood Primary School","11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942","737942","WOODLANDS","WOODLANDS","1.43989958331782","103.804725587384"
